Reason,Country,Year,Value
broadband is not available in the area,Finland,2016,0.63
access elsewhere,Finland,2016,1.63
equipment costs are too high,Finland,2016,1.81
"access not needed (content is not useful, interesting, etc.)",Finland,2016,5.55
other reasons,Finland,2016,1.79
privacy or security concerns,Finland,2016,2.54
lack of skills,Finland,2016,4.61
"access costs are too high (telephone, etc.)",France,2016,4.52
broadband is not available in the area,France,2016,0.77
access elsewhere,France,2016,1.58
equipment costs are too high,France,2016,5.41
"access not needed (content is not useful, interesting, etc.)",France,2016,3.44
other reasons,France,2016,2.76
privacy or security concerns,France,2016,2.76
lack of skills,France,2016,4.29
"access costs are too high (telephone, etc.)",Germany,2016,1.95
broadband is not available in the area,Germany,2016,0.28
access elsewhere,Germany,2016,1.46
equipment costs are too high,Germany,2016,2.11
"access not needed (content is not useful, interesting, etc.)",Germany,2016,4.56
other reasons,Germany,2016,0.27
privacy or security concerns,Germany,2016,1.76
lack of skills,Germany,2016,2.69
"access costs are too high (telephone, etc.)",Greece,2016,3.37
broadband is not available in the area,Greece,2016,0.54
access elsewhere,Greece,2016,1.93
equipment costs are too high,Greece,2016,5.99
"access not needed (content is not useful, interesting, etc.)",Greece,2016,7.69
other reasons,Greece,2016,2.2
privacy or security concerns,Greece,2016,0.55
lack of skills,Greece,2016,19.4
"access costs are too high (telephone, etc.)",Hungary,2016,10.03
broadband is not available in the area,Hungary,2016,1.3
access elsewhere,Hungary,2016,3.7
equipment costs are too high,Hungary,2016,11.47
"access not needed (content is not useful, interesting, etc.)",Hungary,2016,13.18
other reasons,Hungary,2016,3.11
privacy or security concerns,Hungary,2016,4.7
lack of skills,Hungary,2016,12.77
"access costs are too high (telephone, etc.)",Ireland,2016,1.05
broadband is not available in the area,Ireland,2016,0.84
access elsewhere,Ireland,2016,1.16
equipment costs are too high,Ireland,2016,1.56
"access not needed (content is not useful, interesting, etc.)",Ireland,2016,4.92
other reasons,Ireland,2016,1.55
privacy or security concerns,Ireland,2016,0.44
lack of skills,Ireland,2016,5.17
"access costs are too high (telephone, etc.)",Italy,2016,2.72
broadband is not available in the area,Italy,2016,0.64
access elsewhere,Italy,2016,2.72
equipment costs are too high,Italy,2016,2.81
"access not needed (content is not useful, interesting, etc.)",Italy,2016,5.15
other reasons,Italy,2016,1.3
privacy or security concerns,Italy,2016,0.59
lack of skills,Italy,2016,9.55
"access costs are too high (telephone, etc.)",Latvia,2016,3.53
broadband is not available in the area,Latvia,2016,0.26
access elsewhere,Latvia,2016,2.69
equipment costs are too high,Latvia,2016,5.34
"access not needed (content is not useful, interesting, etc.)",Latvia,2016,11.41
other reasons,Latvia,2016,0.81
privacy or security concerns,Latvia,2016,0.19
lack of skills,Latvia,2016,5.73
"access costs are too high (telephone, etc.)",Lithuania,2016,7.74
broadband is not available in the area,Lithuania,2016,0.23
access elsewhere,Lithuania,2016,2.26
equipment costs are too high,Lithuania,2016,7.91
"access not needed (content is not useful, interesting, etc.)",Lithuania,2016,16.89
other reasons,Lithuania,2016,0.42
privacy or security concerns,Lithuania,2016,0.73
lack of skills,Lithuania,2016,12.35
"access costs are too high (telephone, etc.)",Luxembourg,2016,0.17
access elsewhere,Luxembourg,2016,0.58
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2016,1.16
other reasons,Luxembourg,2016,0.49
privacy or security concerns,Luxembourg,2016,0.15
lack of skills,Luxembourg,2016,1.22
"access costs are too high (telephone, etc.)",Malta,2016,3.21
broadband is not available in the area,Malta,2016,0.17
access elsewhere,Malta,2016,1.24
equipment costs are too high,Malta,2016,2.42
"access not needed (content is not useful, interesting, etc.)",Malta,2016,10.39
other reasons,Malta,2016,1.77
privacy or security concerns,Malta,2016,0.88
lack of skills,Malta,2016,12.92
"access costs are too high (telephone, etc.)",Netherlands,2016,0.76
broadband is not available in the area,Netherlands,2016,0.43
access elsewhere,Netherlands,2016,0.83
equipment costs are too high,Netherlands,2016,0.9
"access not needed (content is not useful, interesting, etc.)",Netherlands,2016,1.93
other reasons,Netherlands,2016,0.8
privacy or security concerns,Netherlands,2016,0.67
lack of skills,Netherlands,2016,1.33
"access costs are too high (telephone, etc.)",Poland,2016,4.13
broadband is not available in the area,Poland,2016,0.45
access elsewhere,Poland,2016,0.69
equipment costs are too high,Poland,2016,5.45
"access not needed (content is not useful, interesting, etc.)",Poland,2016,13.72
other reasons,Poland,2016,3.82
privacy or security concerns,Poland,2016,0.76
lack of skills,Poland,2016,10.12
"access costs are too high (telephone, etc.)",Portugal,2016,9.96
broadband is not available in the area,Portugal,2016,1.2
access elsewhere,Portugal,2016,2.78
equipment costs are too high,Portugal,2016,10.08
"access not needed (content is not useful, interesting, etc.)",Portugal,2016,11.63
other reasons,Portugal,2016,1.08
privacy or security concerns,Portugal,2016,4.49
lack of skills,Portugal,2016,17.9
"access costs are too high (telephone, etc.)",Romania,2016,6.04
broadband is not available in the area,Romania,2016,0.37
access elsewhere,Romania,2016,2.0
equipment costs are too high,Romania,2016,8.81
"access not needed (content is not useful, interesting, etc.)",Romania,2016,10.45
other reasons,Romania,2016,2.21
privacy or security concerns,Romania,2016,0.31
lack of skills,Romania,2016,11.48
"access costs are too high (telephone, etc.)",Slovakia,2016,3.08
broadband is not available in the area,Slovakia,2016,0.07
access elsewhere,Slovakia,2016,0.99
equipment costs are too high,Slovakia,2016,2.02
"access not needed (content is not useful, interesting, etc.)",Slovakia,2016,10.55
other reasons,Slovakia,2016,1.85
privacy or security concerns,Slovakia,2016,0.95
lack of skills,Slovakia,2016,11.33
"access costs are too high (telephone, etc.)",Slovenia,2016,3.88
broadband is not available in the area,Slovenia,2016,0.89
access elsewhere,Slovenia,2016,1.42
equipment costs are too high,Slovenia,2016,4.09
"access not needed (content is not useful, interesting, etc.)",Slovenia,2016,14.12
other reasons,Slovenia,2016,2.82
privacy or security concerns,Slovenia,2016,1.32
lack of skills,Slovenia,2016,5.48
"access costs are too high (telephone, etc.)",Spain,2016,3.72
broadband is not available in the area,Spain,2016,0.41
access elsewhere,Spain,2016,1.86
equipment costs are too high,Spain,2016,4.58
"access not needed (content is not useful, interesting, etc.)",Spain,2016,12.08
other reasons,Spain,2016,2.65
privacy or security concerns,Spain,2016,0.58
lack of skills,Spain,2016,7.4
"access costs are too high (telephone, etc.)",Sweden,2016,1.36
broadband is not available in the area,Sweden,2016,0.39
access elsewhere,Sweden,2016,1.37
equipment costs are too high,Sweden,2016,1.62
"access not needed (content is not useful, interesting, etc.)",Sweden,2016,2.02
other reasons,Sweden,2016,0.57
privacy or security concerns,Sweden,2016,0.82
lack of skills,Sweden,2016,1.21
"access costs are too high (telephone, etc.)",United Kingdom,2016,0.75
access elsewhere,United Kingdom,2016,0.8
equipment costs are too high,United Kingdom,2016,1.03
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2016,3.3
other reasons,United Kingdom,2016,1.08
privacy or security concerns,United Kingdom,2016,0.37
lack of skills,United Kingdom,2016,1.56
"access costs are too high (telephone, etc.)",Austria,2017,1.06
broadband is not available in the area,Austria,2017,0.12
access elsewhere,Austria,2017,1.36
equipment costs are too high,Austria,2017,1.1
"access not needed (content is not useful, interesting, etc.)",Austria,2017,9.06
other reasons,Austria,2017,0.51
privacy or security concerns,Austria,2017,1.09
lack of skills,Austria,2017,2.95
"access costs are too high (telephone, etc.)",Belgium,2017,2.25
broadband is not available in the area,Belgium,2017,0.02
access elsewhere,Belgium,2017,1.5
equipment costs are too high,Belgium,2017,2.88
"access not needed (content is not useful, interesting, etc.)",Belgium,2017,4.95
other reasons,Belgium,2017,2.69
privacy or security concerns,Belgium,2017,0.83
lack of skills,Belgium,2017,4.25
"access costs are too high (telephone, etc.)",Bulgaria,2017,7.17
broadband is not available in the area,Bulgaria,2017,0.22
access elsewhere,Bulgaria,2017,1.23
equipment costs are too high,Bulgaria,2017,8.99
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2017,15.74
other reasons,Bulgaria,2017,2.26
privacy or security concerns,Bulgaria,2017,0.25
lack of skills,Bulgaria,2017,17.27
"access costs are too high (telephone, etc.)",Croatia,2017,13.12
broadband is not available in the area,Croatia,2017,1.69
access elsewhere,Croatia,2017,1.89
equipment costs are too high,Croatia,2017,12.29
"access not needed (content is not useful, interesting, etc.)",Croatia,2017,15.95
other reasons,Croatia,2017,3.75
privacy or security concerns,Croatia,2017,5.97
lack of skills,Croatia,2017,14.6
"access costs are too high (telephone, etc.)",Cyprus,2017,8.78
broadband is not available in the area,Cyprus,2017,0.82
access elsewhere,Cyprus,2017,3.91
equipment costs are too high,Cyprus,2017,8.5
"access not needed (content is not useful, interesting, etc.)",Cyprus,2017,12.78
other reasons,Cyprus,2017,1.91
privacy or security concerns,Cyprus,2017,4.34
lack of skills,Cyprus,2017,12.93
"access costs are too high (telephone, etc.)",Denmark,2017,0.18
broadband is not available in the area,Denmark,2017,0.04
access elsewhere,Denmark,2017,0.29
equipment costs are too high,Denmark,2017,0.13
"access not needed (content is not useful, interesting, etc.)",Denmark,2017,1.51
other reasons,Denmark,2017,0.67
privacy or security concerns,Denmark,2017,0.05
lack of skills,Denmark,2017,0.77
"access costs are too high (telephone, etc.)",EU-27(from 2020),2017,3.3
broadband is not available in the area,EU-27(from 2020),2017,0.54
access elsewhere,EU-27(from 2020),2017,1.57
equipment costs are too high,EU-27(from 2020),2017,3.67
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2017,6.4
other reasons,EU-27(from 2020),2017,1.77
privacy or security concerns,EU-27(from 2020),2017,1.3
lack of skills,EU-27(from 2020),2017,6.23
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2017,2.98
broadband is not available in the area,EU-28(2013-2020),2017,0.49
access elsewhere,EU-28(2013-2020),2017,1.51
equipment costs are too high,EU-28(2013-2020),2017,3.29
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2017,5.99
other reasons,EU-28(2013-2020),2017,1.61
privacy or security concerns,EU-28(2013-2020),2017,1.2
lack of skills,EU-28(2013-2020),2017,5.57
"access costs are too high (telephone, etc.)",Estonia,2017,1.17
broadband is not available in the area,Estonia,2017,0.25
access elsewhere,Estonia,2017,1.24
equipment costs are too high,Estonia,2017,1.76
"access not needed (content is not useful, interesting, etc.)",Estonia,2017,7.82
other reasons,Estonia,2017,0.55
privacy or security concerns,Estonia,2017,0.15
lack of skills,Estonia,2017,1.85
"access costs are too high (telephone, etc.)",Finland,2017,1.11
broadband is not available in the area,Finland,2017,0.09
access elsewhere,Finland,2017,1.48
equipment costs are too high,Finland,2017,1.56
"access not needed (content is not useful, interesting, etc.)",Finland,2017,3.52
other reasons,Finland,2017,1.73
privacy or security concerns,Finland,2017,1.39
lack of skills,Finland,2017,3.91
"access costs are too high (telephone, etc.)",France,2017,4.63
broadband is not available in the area,France,2017,1.04
access elsewhere,France,2017,1.33
equipment costs are too high,France,2017,4.88
"access not needed (content is not useful, interesting, etc.)",France,2017,2.65
other reasons,France,2017,3.66
privacy or security concerns,France,2017,2.25
lack of skills,France,2017,3.92
"access costs are too high (telephone, etc.)",Germany,2017,1.63
broadband is not available in the area,Germany,2017,0.36
access elsewhere,Germany,2017,1.33
equipment costs are too high,Germany,2017,1.68
"access not needed (content is not useful, interesting, etc.)",Germany,2017,4.02
other reasons,Germany,2017,0.43
privacy or security concerns,Germany,2017,1.49
lack of skills,Germany,2017,2.28
"access costs are too high (telephone, etc.)",Greece,2017,3.13
broadband is not available in the area,Greece,2017,0.25
access elsewhere,Greece,2017,2.39
equipment costs are too high,Greece,2017,5.1
"access not needed (content is not useful, interesting, etc.)",Greece,2017,6.56
other reasons,Greece,2017,1.84
privacy or security concerns,Greece,2017,0.48
lack of skills,Greece,2017,19.95
"access costs are too high (telephone, etc.)",Hungary,2017,8.69
broadband is not available in the area,Hungary,2017,0.85
access elsewhere,Hungary,2017,2.92
equipment costs are too high,Hungary,2017,9.85
"access not needed (content is not useful, interesting, etc.)",Hungary,2017,12.28
other reasons,Hungary,2017,3.01
privacy or security concerns,Hungary,2017,4.33
lack of skills,Hungary,2017,11.07
"access costs are too high (telephone, etc.)",Ireland,2017,1.16
broadband is not available in the area,Ireland,2017,0.77
access elsewhere,Ireland,2017,1.06
equipment costs are too high,Ireland,2017,1.44
"access not needed (content is not useful, interesting, etc.)",Ireland,2017,5.19
other reasons,Ireland,2017,1.03
privacy or security concerns,Ireland,2017,0.56
lack of skills,Ireland,2017,4.89
"access costs are too high (telephone, etc.)",Italy,2017,2.93
broadband is not available in the area,Italy,2017,0.82
access elsewhere,Italy,2017,2.51
equipment costs are too high,Italy,2017,2.69
"access not needed (content is not useful, interesting, etc.)",Italy,2017,4.69
other reasons,Italy,2017,0.86
privacy or security concerns,Italy,2017,0.57
lack of skills,Italy,2017,8.25
"access costs are too high (telephone, etc.)",Latvia,2017,3.86
broadband is not available in the area,Latvia,2017,0.28
access elsewhere,Latvia,2017,2.69
equipment costs are too high,Latvia,2017,5.89
"access not needed (content is not useful, interesting, etc.)",Latvia,2017,10.36
other reasons,Latvia,2017,0.91
privacy or security concerns,Latvia,2017,0.39
lack of skills,Latvia,2017,7.03
"access costs are too high (telephone, etc.)",Lithuania,2017,5.28
broadband is not available in the area,Lithuania,2017,0.26
access elsewhere,Lithuania,2017,1.84
equipment costs are too high,Lithuania,2017,5.95
"access not needed (content is not useful, interesting, etc.)",Lithuania,2017,15.58
other reasons,Lithuania,2017,0.5
privacy or security concerns,Lithuania,2017,0.38
lack of skills,Lithuania,2017,10.83
"access costs are too high (telephone, etc.)",Luxembourg,2017,0.21
broadband is not available in the area,Luxembourg,2017,0.21
access elsewhere,Luxembourg,2017,0.5
equipment costs are too high,Luxembourg,2017,0.12
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2017,1.93
other reasons,Luxembourg,2017,0.74
privacy or security concerns,Luxembourg,2017,0.37
lack of skills,Luxembourg,2017,0.57
"access costs are too high (telephone, etc.)",Malta,2017,2.31
broadband is not available in the area,Malta,2017,0.39
access elsewhere,Malta,2017,0.83
equipment costs are too high,Malta,2017,1.6
"access not needed (content is not useful, interesting, etc.)",Malta,2017,9.03
other reasons,Malta,2017,1.78
privacy or security concerns,Malta,2017,1.61
lack of skills,Malta,2017,10.65
"access costs are too high (telephone, etc.)",Netherlands,2017,0.19
broadband is not available in the area,Netherlands,2017,0.05
access elsewhere,Netherlands,2017,0.35
equipment costs are too high,Netherlands,2017,0.34
"access not needed (content is not useful, interesting, etc.)",Netherlands,2017,0.84
other reasons,Netherlands,2017,0.27
privacy or security concerns,Netherlands,2017,0.2
lack of skills,Netherlands,2017,0.68
"access costs are too high (telephone, etc.)",Poland,2017,3.38
broadband is not available in the area,Poland,2017,0.33
access elsewhere,Poland,2017,0.49
equipment costs are too high,Poland,2017,4.86
"access not needed (content is not useful, interesting, etc.)",Poland,2017,12.23
other reasons,Poland,2017,3.3
privacy or security concerns,Poland,2017,0.65
lack of skills,Poland,2017,9.81
"access costs are too high (telephone, etc.)",Portugal,2017,7.6
broadband is not available in the area,Portugal,2017,0.97
access elsewhere,Portugal,2017,2.13
equipment costs are too high,Portugal,2017,8.03
"access not needed (content is not useful, interesting, etc.)",Portugal,2017,10.67
other reasons,Portugal,2017,1.09
privacy or security concerns,Portugal,2017,3.82
lack of skills,Portugal,2017,16.89
"access costs are too high (telephone, etc.)",Romania,2017,4.78
broadband is not available in the area,Romania,2017,0.36
access elsewhere,Romania,2017,1.99
equipment costs are too high,Romania,2017,6.43
"access not needed (content is not useful, interesting, etc.)",Romania,2017,8.23
other reasons,Romania,2017,2.72
privacy or security concerns,Romania,2017,0.45
lack of skills,Romania,2017,11.56
"access costs are too high (telephone, etc.)",Slovakia,2017,2.44
broadband is not available in the area,Slovakia,2017,0.1
access elsewhere,Slovakia,2017,0.86
equipment costs are too high,Slovakia,2017,1.39
"access not needed (content is not useful, interesting, etc.)",Slovakia,2017,11.22
other reasons,Slovakia,2017,1.51
privacy or security concerns,Slovakia,2017,1.03
lack of skills,Slovakia,2017,9.86
"access costs are too high (telephone, etc.)",Slovenia,2017,2.57
broadband is not available in the area,Slovenia,2017,0.72
access elsewhere,Slovenia,2017,0.81
equipment costs are too high,Slovenia,2017,1.97
"access not needed (content is not useful, interesting, etc.)",Slovenia,2017,11.83
other reasons,Slovenia,2017,3.65
privacy or security concerns,Slovenia,2017,0.55
lack of skills,Slovenia,2017,4.44
"access costs are too high (telephone, etc.)",Spain,2017,4.92
broadband is not available in the area,Spain,2017,0.69
access elsewhere,Spain,2017,2.23
equipment costs are too high,Spain,2017,5.03
"access not needed (content is not useful, interesting, etc.)",Spain,2017,11.15
other reasons,Spain,2017,2.61
privacy or security concerns,Spain,2017,1.23
lack of skills,Spain,2017,7.19
"access costs are too high (telephone, etc.)",Sweden,2017,1.28
broadband is not available in the area,Sweden,2017,0.23
access elsewhere,Sweden,2017,1.13
equipment costs are too high,Sweden,2017,1.29
"access not needed (content is not useful, interesting, etc.)",Sweden,2017,2.2
other reasons,Sweden,2017,0.75
privacy or security concerns,Sweden,2017,0.6
lack of skills,Sweden,2017,1.67
"access costs are too high (telephone, etc.)",United Kingdom,2017,0.81
broadband is not available in the area,United Kingdom,2017,0.14
access elsewhere,United Kingdom,2017,1.17
equipment costs are too high,United Kingdom,2017,0.71
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2017,3.19
other reasons,United Kingdom,2017,0.51
privacy or security concerns,United Kingdom,2017,0.57
lack of skills,United Kingdom,2017,1.15
"access costs are too high (telephone, etc.)",Austria,2019,1.69
broadband is not available in the area,Austria,2019,0.44
access elsewhere,Austria,2019,2.33
equipment costs are too high,Austria,2019,1.69
"access not needed (content is not useful, interesting, etc.)",Austria,2019,7.05
other reasons,Austria,2019,0.55
privacy or security concerns,Austria,2019,1.44
lack of skills,Austria,2019,3.88
"access costs are too high (telephone, etc.)",Belgium,2019,1.8
broadband is not available in the area,Belgium,2019,0.02
access elsewhere,Belgium,2019,1.13
equipment costs are too high,Belgium,2019,2.28
"access not needed (content is not useful, interesting, etc.)",Belgium,2019,4.95
other reasons,Belgium,2019,1.94
privacy or security concerns,Belgium,2019,1.09
lack of skills,Belgium,2019,3.46
"access costs are too high (telephone, etc.)",Bulgaria,2019,6.03
broadband is not available in the area,Bulgaria,2019,0.14
access elsewhere,Bulgaria,2019,0.89
equipment costs are too high,Bulgaria,2019,4.67
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2019,12.48
other reasons,Bulgaria,2019,0.77
privacy or security concerns,Bulgaria,2019,0.11
lack of skills,Bulgaria,2019,10.39
"access costs are too high (telephone, etc.)",Croatia,2019,7.05
broadband is not available in the area,Croatia,2019,0.54
access elsewhere,Croatia,2019,1.03
equipment costs are too high,Croatia,2019,6.81
"access not needed (content is not useful, interesting, etc.)",Croatia,2019,12.95
other reasons,Croatia,2019,0.88
privacy or security concerns,Croatia,2019,4.48
lack of skills,Croatia,2019,9.01
"access costs are too high (telephone, etc.)",Cyprus,2019,5.03
broadband is not available in the area,Cyprus,2019,0.26
access elsewhere,Cyprus,2019,1.13
equipment costs are too high,Cyprus,2019,5.48
"access not needed (content is not useful, interesting, etc.)",Cyprus,2019,8.25
other reasons,Cyprus,2019,0.03
privacy or security concerns,Cyprus,2019,2.58
lack of skills,Cyprus,2019,8.42
"access costs are too high (telephone, etc.)",Denmark,2019,0.34
broadband is not available in the area,Denmark,2019,0.07
access elsewhere,Denmark,2019,0.61
equipment costs are too high,Denmark,2019,0.32
"access not needed (content is not useful, interesting, etc.)",Denmark,2019,1.37
other reasons,Denmark,2019,1.62
privacy or security concerns,Denmark,2019,0.34
lack of skills,Denmark,2019,0.81
"access costs are too high (telephone, etc.)",EU-27(from 2020),2019,2.37
broadband is not available in the area,EU-27(from 2020),2019,0.35
access elsewhere,EU-27(from 2020),2019,1.07
equipment costs are too high,EU-27(from 2020),2019,2.54
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2019,4.62
other reasons,EU-27(from 2020),2019,1.26
privacy or security concerns,EU-27(from 2020),2019,1.09
lack of skills,EU-27(from 2020),2019,4.56
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2019,2.26
broadband is not available in the area,EU-28(2013-2020),2019,0.31
access elsewhere,EU-28(2013-2020),2019,1.03
equipment costs are too high,EU-28(2013-2020),2019,2.41
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2019,4.31
other reasons,EU-28(2013-2020),2019,1.21
privacy or security concerns,EU-28(2013-2020),2019,1.16
lack of skills,EU-28(2013-2020),2019,4.17
"access costs are too high (telephone, etc.)",Estonia,2019,0.46
broadband is not available in the area,Estonia,2019,0.23
access elsewhere,Estonia,2019,0.92
equipment costs are too high,Estonia,2019,0.86
"access not needed (content is not useful, interesting, etc.)",Estonia,2019,6.88
other reasons,Estonia,2019,0.34
privacy or security concerns,Estonia,2019,0.06
lack of skills,Estonia,2019,1.19
"access costs are too high (telephone, etc.)",Finland,2019,1.65
broadband is not available in the area,Finland,2019,0.61
access elsewhere,Finland,2019,1.33
equipment costs are too high,Finland,2019,2.46
"access not needed (content is not useful, interesting, etc.)",Finland,2019,3.46
other reasons,Finland,2019,1.34
privacy or security concerns,Finland,2019,2.1
lack of skills,Finland,2019,4.22
"access costs are too high (telephone, etc.)",France,2019,3.42
broadband is not available in the area,France,2019,0.59
access elsewhere,France,2019,0.86
equipment costs are too high,France,2019,3.94
"access not needed (content is not useful, interesting, etc.)",France,2019,1.4
other reasons,France,2019,2.51
privacy or security concerns,France,2019,1.66
lack of skills,France,2019,3.01
"access costs are too high (telephone, etc.)",Germany,2019,1.45
broadband is not available in the area,Germany,2019,0.18
access elsewhere,Germany,2019,0.78
equipment costs are too high,Germany,2019,1.54
"access not needed (content is not useful, interesting, etc.)",Germany,2019,2.92
other reasons,Germany,2019,0.32
privacy or security concerns,Germany,2019,1.24
lack of skills,Germany,2019,1.8
"access costs are too high (telephone, etc.)",Greece,2019,2.14
broadband is not available in the area,Greece,2019,0.13
access elsewhere,Greece,2019,2.01
equipment costs are too high,Greece,2019,3.03
"access not needed (content is not useful, interesting, etc.)",Greece,2019,4.55
other reasons,Greece,2019,1.52
privacy or security concerns,Greece,2019,0.64
lack of skills,Greece,2019,13.64
"access costs are too high (telephone, etc.)",Hungary,2019,5.87
broadband is not available in the area,Hungary,2019,0.92
access elsewhere,Hungary,2019,1.65
equipment costs are too high,Hungary,2019,6.58
"access not needed (content is not useful, interesting, etc.)",Hungary,2019,9.35
other reasons,Hungary,2019,1.5
privacy or security concerns,Hungary,2019,3.25
lack of skills,Hungary,2019,9.1
"access costs are too high (telephone, etc.)",Ireland,2019,0.86
broadband is not available in the area,Ireland,2019,0.56
access elsewhere,Ireland,2019,0.77
equipment costs are too high,Ireland,2019,0.78
"access not needed (content is not useful, interesting, etc.)",Ireland,2019,4.54
other reasons,Ireland,2019,0.67
privacy or security concerns,Ireland,2019,0.67
lack of skills,Ireland,2019,3.67
"access costs are too high (telephone, etc.)",Italy,2019,2.11
broadband is not available in the area,Italy,2019,0.4
access elsewhere,Italy,2019,2.2
equipment costs are too high,Italy,2019,1.71
"access not needed (content is not useful, interesting, etc.)",Italy,2019,3.75
other reasons,Italy,2019,0.6
privacy or security concerns,Italy,2019,0.42
lack of skills,Italy,2019,6.31
"access costs are too high (telephone, etc.)",Latvia,2019,2.73
broadband is not available in the area,Latvia,2019,0.24
access elsewhere,Latvia,2019,1.91
equipment costs are too high,Latvia,2019,3.53
"access not needed (content is not useful, interesting, etc.)",Latvia,2019,8.93
other reasons,Latvia,2019,0.59
privacy or security concerns,Latvia,2019,0.46
lack of skills,Latvia,2019,5.17
"access costs are too high (telephone, etc.)",Lithuania,2019,3.12
broadband is not available in the area,Lithuania,2019,0.24
access elsewhere,Lithuania,2019,0.87
equipment costs are too high,Lithuania,2019,3.27
"access not needed (content is not useful, interesting, etc.)",Lithuania,2019,12.25
other reasons,Lithuania,2019,0.22
privacy or security concerns,Lithuania,2019,0.36
lack of skills,Lithuania,2019,8.09
"access costs are too high (telephone, etc.)",Luxembourg,2019,0.48
broadband is not available in the area,Luxembourg,2019,0.06
access elsewhere,Luxembourg,2019,1.26
equipment costs are too high,Luxembourg,2019,0.44
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2019,2.4
other reasons,Luxembourg,2019,0.47
privacy or security concerns,Luxembourg,2019,0.59
lack of skills,Luxembourg,2019,0.77
"access costs are too high (telephone, etc.)",Malta,2019,2.99
access elsewhere,Malta,2019,2.27
equipment costs are too high,Malta,2019,2.92
"access not needed (content is not useful, interesting, etc.)",Malta,2019,6.31
other reasons,Malta,2019,1.58
privacy or security concerns,Malta,2019,2.17
lack of skills,Malta,2019,9.12
"access costs are too high (telephone, etc.)",Netherlands,2019,0.45
broadband is not available in the area,Netherlands,2019,0.1
access elsewhere,Netherlands,2019,0.06
equipment costs are too high,Netherlands,2019,0.34
"access not needed (content is not useful, interesting, etc.)",Netherlands,2019,1.12
other reasons,Netherlands,2019,0.21
privacy or security concerns,Netherlands,2019,0.25
lack of skills,Netherlands,2019,0.69
"access costs are too high (telephone, etc.)",Poland,2019,1.94
broadband is not available in the area,Poland,2019,0.34
access elsewhere,Poland,2019,0.36
equipment costs are too high,Poland,2019,2.85
"access not needed (content is not useful, interesting, etc.)",Poland,2019,8.92
other reasons,Poland,2019,2.95
privacy or security concerns,Poland,2019,0.57
lack of skills,Poland,2019,6.86
"access costs are too high (telephone, etc.)",Portugal,2019,9.7
broadband is not available in the area,Portugal,2019,0.98
access elsewhere,Portugal,2019,1.94
equipment costs are too high,Portugal,2019,9.7
"access not needed (content is not useful, interesting, etc.)",Portugal,2019,9.12
other reasons,Portugal,2019,1.94
privacy or security concerns,Portugal,2019,4.09
lack of skills,Portugal,2019,13.15
"access costs are too high (telephone, etc.)",Romania,2019,2.92
broadband is not available in the area,Romania,2019,0.19
access elsewhere,Romania,2019,1.15
equipment costs are too high,Romania,2019,2.84
"access not needed (content is not useful, interesting, etc.)",Romania,2019,6.48
other reasons,Romania,2019,1.86
privacy or security concerns,Romania,2019,0.22
lack of skills,Romania,2019,8.22
"access costs are too high (telephone, etc.)",Slovakia,2019,3.02
broadband is not available in the area,Slovakia,2019,0.19
access elsewhere,Slovakia,2019,1.58
equipment costs are too high,Slovakia,2019,2.69
"access not needed (content is not useful, interesting, etc.)",Slovakia,2019,9.71
other reasons,Slovakia,2019,0.89
privacy or security concerns,Slovakia,2019,1.79
lack of skills,Slovakia,2019,10.34
"access costs are too high (telephone, etc.)",Slovenia,2019,2.08
broadband is not available in the area,Slovenia,2019,0.42
access elsewhere,Slovenia,2019,0.54
equipment costs are too high,Slovenia,2019,1.64
"access not needed (content is not useful, interesting, etc.)",Slovenia,2019,5.72
other reasons,Slovenia,2019,3.46
privacy or security concerns,Slovenia,2019,0.61
lack of skills,Slovenia,2019,2.77
"access costs are too high (telephone, etc.)",Spain,2019,2.2
broadband is not available in the area,Spain,2019,0.44
access elsewhere,Spain,2019,0.92
equipment costs are too high,Spain,2019,2.35
"access not needed (content is not useful, interesting, etc.)",Spain,2019,6.35
other reasons,Spain,2019,1.36
privacy or security concerns,Spain,2019,0.88
lack of skills,Spain,2019,4.31
"access costs are too high (telephone, etc.)",Sweden,2019,0.58
broadband is not available in the area,Sweden,2019,0.14
access elsewhere,Sweden,2019,0.43
equipment costs are too high,Sweden,2019,0.52
"access not needed (content is not useful, interesting, etc.)",Sweden,2019,1.41
other reasons,Sweden,2019,0.57
privacy or security concerns,Sweden,2019,0.67
lack of skills,Sweden,2019,0.86
"access costs are too high (telephone, etc.)",United Kingdom,2019,1.57
broadband is not available in the area,United Kingdom,2019,0.02
access elsewhere,United Kingdom,2019,0.77
equipment costs are too high,United Kingdom,2019,1.57
